清水毛坯 户型周正 采光视野好 有车位,融科东南海 - 树木岭,总价208万,单价13105元/平米,5室2厅 | 158.72平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2013年建 | 塔楼
房子为坐北朝南两房，业主一直是自己住，万家丽高架,万丽景园 - 万家丽北,总价67万,单价7263元/平米,2室2厅 | 92.25平米 | 东南 | 精装 | 高楼层(共15层)  | 塔楼
"地铁口，小高层板楼中间栋，南北通透4房,清水毛坯",长房东郡 - 德政园,总价210万,单价14423元/平米,4室2厅 | 145.61平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2007年建 | 板楼
谷山体育公园旁，新华联商圈，进出方便。,澳海澜庭 - 金星北,总价72.8万,单价8201元/平米,3室2厅 | 88.78平米 | 南 北 | 简装 | 中楼层(共6层) | 2015年建 | 板楼
南门口（祝威岗）双地铁口，精装修三房,祝威岗小区 - 书院路,总价75万,单价11007元/平米,3室2厅 | 68.14平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据
一个资格购买两套独立的住宅  冬日里采光都无可挑剔,世茂铂翠湾 - 滨江新城,总价325万,单价16005元/平米,5室2厅 | 203.07平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合
洋湖湿地公园 两梯两户小高层板楼 俯瞰洋湖美景,中天栖溪里 - 洋湖垸,总价285万,单价16667元/平米,4室2厅 | 171平米 | 南 | 其他 | 中楼层(共16层) | 2012年建 | 板塔结合
楼栋位置好 出入方便 拎包入住 随时看房！,银桂苑 - 省政府,总价228万,单价12325元/平米,5室2厅 | 185平米 | 南 | 精装 | 中楼层(共9层)  | 板楼
财富名园 3室2厅 南,财富名园 - 月湖,总价135万,单价9311元/平米,3室2厅 | 145平米 | 南 | 毛坯 | 中楼层(共18层) | 2012年建 | 板塔结合
一线江景 中高层视野开阔  业主自住精装修3+1户型,世纪城融江苑 - 湘江世纪城,总价248万,单价15273元/平米,4室2厅 | 162.38平米 | 北 西南 | 精装 | 中楼层(共33层) | 2010年建 | 塔楼
满五唯一，正地铁口，户型周正，全新精装修，随时看,韶峰星苑 - 暮云,总价136万,单价9178元/平米,4室2厅 | 148.19平米 | 南 东 | 精装 | 高楼层(共10层)  | 板塔结合
此房户型周正，看房方便，近地铁口桂花公园,赤岗社区 - 左家塘,总价36.6万,单价6520元/平米,2室1厅 | 56.14平米 | 南 | 简装 | 高楼层(共5层) | 1997年建 | 板楼
新城国际花都一期 2室1厅 南,新城国际花都一期 - 望城区,总价60万,单价7338元/平米,2室1厅 | 81.77平米 | 南 | 其他 | 高楼层(共34层) | 2013年建 | 塔楼
满五唯一      交通便利    环境好  安保好,藏珑湖上国际花园 - 广电,总价55万,单价11753元/平米,1室1厅 | 46.8平米 | 南 | 其他 | 高楼层(共32层) | 2011年建 | 板塔结合
房子有北雅，清水塘，简单装修，楼层视野好，采光充足,世纪城咏江苑 - 湘江世纪城,总价188万,单价12674元/平米,4室2厅 | 148.34平米 | 南 | 其他 | 低楼层(共33层) | 2009年建 | 塔楼
